交易日期,ETF代码,收盘价
2014-01-02,511880.SH,75.21
2014-01-03,511880.SH,75.286
2014-01-06,511880.SH,75.297
2014-01-07,511880.SH,75.329
2014-01-08,511880.SH,75.322
2014-01-09,511880.SH,75.332
2014-01-10,511880.SH,75.351
2014-01-13,511880.SH,75.37
2014-01-14,511880.SH,75.392
2014-01-15,511880.SH,75.403
2014-01-16,511880.SH,75.434
2014-01-17,511880.SH,75.432
2014-01-20,511880.SH,75.407
2014-01-21,511880.SH,75.424
2014-01-22,511880.SH,75.465
2014-01-23,511880.SH,75.496
2014-01-24,511880.SH,75.527
2014-01-27,511880.SH,75.538
2014-01-28,511880.SH,75.555
2014-01-29,511880.SH,75.655
2014-01-30,511880.SH,75.773
2014-02-07,511880.SH,75.738
2014-02-10,511880.SH,75.725
2014-02-11,511880.SH,75.726
2014-02-12,511880.SH,75.75
2014-02-13,511880.SH,75.77
2014-02-14,511880.SH,75.854
2014-02-17,511880.SH,75.908
2014-02-18,511880.SH,75.943
2014-02-19,511880.SH,75.895
2014-02-20,511880.SH,75.849
2014-02-21,511880.SH,75.878
2014-02-24,511880.SH,75.881
2014-02-25,511880.SH,75.894
2014-02-26,511880.SH,75.905
2014-02-27,511880.SH,75.907
2014-02-28,511880.SH,75.924
2014-03-03,511880.SH,75.955
2014-03-04,511880.SH,75.989
2014-03-05,511880.SH,76.005
2014-03-06,511880.SH,76.006
2014-03-07,511880.SH,76.038
2014-03-10,511880.SH,76.043
2014-03-11,511880.SH,76.051
2014-03-12,511880.SH,76.043
2014-03-13,511880.SH,76.033
2014-03-14,511880.SH,76.049
2014-03-17,511880.SH,76.06
2014-03-18,511880.SH,76.072
2014-03-19,511880.SH,76.075
2014-03-20,511880.SH,76.078
2014-03-21,511880.SH,76.098
2014-03-24,511880.SH,76.099
2014-03-25,511880.SH,76.099
2014-03-26,511880.SH,76.117
2014-03-27,511880.SH,76.104
2014-03-28,511880.SH,76.099
2014-03-31,511880.SH,76.159
2014-04-01,511880.SH,76.188
2014-04-02,511880.SH,76.2
2014-04-03,511880.SH,76.212
2014-04-04,511880.SH,76.254
2014-04-08,511880.SH,76.251
2014-04-09,511880.SH,76.256
2014-04-10,511880.SH,76.269
2014-04-11,511880.SH,76.306
2014-04-14,511880.SH,76.307
2014-04-15,511880.SH,76.312
2014-04-16,511880.SH,76.322
2014-04-17,511880.SH,76.326
2014-04-18,511880.SH,76.346
2014-04-21,511880.SH,76.357
2014-04-22,511880.SH,76.369
2014-04-23,511880.SH,76.377
2014-04-24,511880.SH,76.384
2014-04-25,511880.SH,76.415
2014-04-28,511880.SH,76.377
2014-04-29,511880.SH,76.395
2014-04-30,511880.SH,76.469
2014-05-05,511880.SH,76.476
2014-05-06,511880.SH,76.489
2014-05-07,511880.SH,76.504
2014-05-08,511880.SH,76.515
2014-05-09,511880.SH,76.541
2014-05-12,511880.SH,76.543
2014-05-13,511880.SH,76.55
2014-05-14,511880.SH,76.558
2014-05-15,511880.SH,76.57
2014-05-16,511880.SH,76.591
2014-05-19,511880.SH,76.599
2014-05-20,511880.SH,76.603
2014-05-21,511880.SH,76.611
2014-05-22,511880.SH,76.625
2014-05-23,511880.SH,76.643
2014-05-26,511880.SH,76.645
2014-05-27,511880.SH,76.661
2014-05-28,511880.SH,76.669
2014-05-29,511880.SH,76.666
2014-05-30,511880.SH,76.708
2014-06-03,511880.SH,76.725
2014-06-04,511880.SH,76.74
2014-06-05,511880.SH,76.763
2014-06-06,511880.SH,76.814
2014-06-09,511880.SH,76.846
2014-06-10,511880.SH,76.842
2014-06-11,511880.SH,76.825
2014-06-12,511880.SH,76.812
2014-06-13,511880.SH,76.821
2014-06-16,511880.SH,76.788
2014-06-17,511880.SH,76.747
2014-06-18,511880.SH,76.674
2014-06-19,511880.SH,76.853
2014-06-20,511880.SH,76.893
2014-06-23,511880.SH,76.89
2014-06-24,511880.SH,76.93
2014-06-25,511880.SH,76.949
2014-06-26,511880.SH,76.964
2014-06-27,511880.SH,76.958
2014-06-30,511880.SH,76.993
2014-07-01,511880.SH,77.006
2014-07-02,511880.SH,77.034
2014-07-03,511880.SH,77.068
2014-07-04,511880.SH,77.082
2014-07-07,511880.SH,77.08
2014-07-08,511880.SH,77.073
2014-07-09,511880.SH,77.057
2014-07-10,511880.SH,77.043
2014-07-11,511880.SH,77.086
2014-07-14,511880.SH,77.102
2014-07-15,511880.SH,77.127
2014-07-16,511880.SH,77.141
2014-07-17,511880.SH,77.15
2014-07-18,511880.SH,77.168
2014-07-21,511880.SH,77.144
2014-07-22,511880.SH,77.156
2014-07-23,511880.SH,77.163
2014-07-24,511880.SH,77.186
2014-07-25,511880.SH,77.229
2014-07-28,511880.SH,77.25
2014-07-29,511880.SH,77.259
2014-07-30,511880.SH,77.265
2014-07-31,511880.SH,77.292
2014-08-01,511880.SH,77.316
2014-08-04,511880.SH,77.327
2014-08-05,511880.SH,77.335
2014-08-06,511880.SH,77.331
2014-08-07,511880.SH,77.347
2014-08-08,511880.SH,77.356
2014-08-11,511880.SH,77.351
2014-08-12,511880.SH,77.357
2014-08-13,511880.SH,77.366
2014-08-14,511880.SH,77.373
2014-08-15,511880.SH,77.398
2014-08-18,511880.SH,77.41
2014-08-19,511880.SH,77.427
2014-08-20,511880.SH,77.434
2014-08-21,511880.SH,77.441
2014-08-22,511880.SH,77.45
2014-08-25,511880.SH,77.438
2014-08-26,511880.SH,77.431
2014-08-27,511880.SH,77.45
