交易日期,ETF代码,收盘价
2014-01-02,510300.SH,1.944
2014-01-03,510300.SH,1.923
2014-01-06,510300.SH,1.877
2014-01-07,510300.SH,1.878
2014-01-08,510300.SH,1.876
2014-01-09,510300.SH,1.865
2014-01-10,510300.SH,1.851
2014-01-13,510300.SH,1.838
2014-01-14,510300.SH,1.851
2014-01-15,510300.SH,1.851
2014-01-16,510300.SH,1.851
2014-01-17,510300.SH,1.825
2014-01-20,510300.SH,1.816
2014-01-21,510300.SH,1.83
2014-01-22,510300.SH,1.881
2014-01-23,510300.SH,1.871
2014-01-24,510300.SH,1.881
2014-01-27,510300.SH,1.856
2014-01-28,510300.SH,1.858
2014-01-29,510300.SH,1.864
2014-01-30,510300.SH,1.838
2014-02-07,510300.SH,1.85
2014-02-10,510300.SH,1.903
2014-02-11,510300.SH,1.913
2014-02-12,510300.SH,1.916
2014-02-13,510300.SH,1.911
2014-02-14,510300.SH,1.918
2014-02-17,510300.SH,1.931
2014-02-18,510300.SH,1.908
2014-02-19,510300.SH,1.934
2014-02-20,510300.SH,1.917
2014-02-21,510300.SH,1.895
2014-02-24,510300.SH,1.852
2014-02-25,510300.SH,1.804
2014-02-26,510300.SH,1.807
2014-02-27,510300.SH,1.803
2014-02-28,510300.SH,1.821
2014-03-03,510300.SH,1.828
2014-03-04,510300.SH,1.824
2014-03-05,510300.SH,1.808
2014-03-06,510300.SH,1.817
2014-03-07,510300.SH,1.811
2014-03-10,510300.SH,1.755
2014-03-11,510300.SH,1.762
2014-03-12,510300.SH,1.764
2014-03-13,510300.SH,1.792
2014-03-14,510300.SH,1.777
2014-03-17,510300.SH,1.79
2014-03-18,510300.SH,1.788
2014-03-19,510300.SH,1.778
2014-03-20,510300.SH,1.747
2014-03-21,510300.SH,1.811
2014-03-24,510300.SH,1.82
2014-03-25,510300.SH,1.817
2014-03-26,510300.SH,1.817
2014-03-27,510300.SH,1.804
2014-03-28,510300.SH,1.804
2014-03-31,510300.SH,1.796
2014-04-01,510300.SH,1.806
2014-04-02,510300.SH,1.82
2014-04-03,510300.SH,1.808
2014-04-04,510300.SH,1.83
2014-04-08,510300.SH,1.873
2014-04-09,510300.SH,1.87
2014-04-10,510300.SH,1.9
2014-04-11,510300.SH,1.899
2014-04-14,510300.SH,1.898
2014-04-15,510300.SH,1.865
