交易日期,ETF代码,收盘价
2014-01-02,513100.SH,0.234
2014-01-03,513100.SH,0.232
2014-01-06,513100.SH,0.231
2014-01-07,513100.SH,0.231
2014-01-08,513100.SH,0.235
2014-01-09,513100.SH,0.234
2014-01-10,513100.SH,0.234
2014-01-13,513100.SH,0.234
2014-01-14,513100.SH,0.231
2014-01-15,513100.SH,0.234
2014-01-16,513100.SH,0.236
2014-01-17,513100.SH,0.237
2014-01-20,513100.SH,0.236
2014-01-21,513100.SH,0.236
2014-01-22,513100.SH,0.236
2014-01-23,513100.SH,0.238
2014-01-24,513100.SH,0.237
2014-01-27,513100.SH,0.232
2014-01-28,513100.SH,0.232
2014-01-29,513100.SH,0.235
2014-01-30,513100.SH,0.233
2014-02-07,513100.SH,0.232
2014-02-10,513100.SH,0.234
2014-02-11,513100.SH,0.234
2014-02-12,513100.SH,0.237
2014-02-13,513100.SH,0.235
2014-02-14,513100.SH,0.237
2014-02-17,513100.SH,0.237
2014-02-18,513100.SH,0.237
2014-02-19,513100.SH,0.239
2014-02-20,513100.SH,0.238
2014-02-21,513100.SH,0.241
2014-02-24,513100.SH,0.24
2014-02-25,513100.SH,0.243
2014-02-26,513100.SH,0.245
2014-02-27,513100.SH,0.245
2014-02-28,513100.SH,0.25
2014-03-03,513100.SH,0.248
2014-03-04,513100.SH,0.245
2014-03-05,513100.SH,0.248
2014-03-06,513100.SH,0.247
2014-03-07,513100.SH,0.246
2014-03-10,513100.SH,0.244
2014-03-11,513100.SH,0.244
2014-03-12,513100.SH,0.243
2014-03-13,513100.SH,0.244
2014-03-14,513100.SH,0.239
2014-03-17,513100.SH,0.238
2014-03-18,513100.SH,0.242
2014-03-19,513100.SH,0.245
2014-03-20,513100.SH,0.243
2014-03-21,513100.SH,0.244
2014-03-24,513100.SH,0.241
2014-03-25,513100.SH,0.239
2014-03-26,513100.SH,0.24
2014-03-27,513100.SH,0.236
2014-03-28,513100.SH,0.235
2014-03-31,513100.SH,0.235
2014-04-01,513100.SH,0.239
2014-04-02,513100.SH,0.243
2014-04-03,513100.SH,0.242
2014-04-04,513100.SH,0.24
2014-04-08,513100.SH,0.232
2014-04-09,513100.SH,0.234
2014-04-10,513100.SH,0.236
2014-04-11,513100.SH,0.228
2014-04-14,513100.SH,0.227
2014-04-15,513100.SH,0.228
2014-04-16,513100.SH,0.229
2014-04-17,513100.SH,0.231
2014-04-18,513100.SH,0.231
2014-04-21,513100.SH,0.231
2014-04-22,513100.SH,0.233
2014-04-23,513100.SH,0.234
2014-04-24,513100.SH,0.235
2014-04-25,513100.SH,0.235
2014-04-28,513100.SH,0.231
2014-04-29,513100.SH,0.232
2014-04-30,513100.SH,0.234
2014-05-05,513100.SH,0.235
2014-05-06,513100.SH,0.236
2014-05-07,513100.SH,0.233
2014-05-08,513100.SH,0.232
2014-05-09,513100.SH,0.232
2014-05-12,513100.SH,0.233
2014-05-13,513100.SH,0.237
2014-05-14,513100.SH,0.238
2014-05-15,513100.SH,0.237
2014-05-16,513100.SH,0.236
2014-05-19,513100.SH,0.236
2014-05-20,513100.SH,0.238
2014-05-21,513100.SH,0.237
2014-05-22,513100.SH,0.239
2014-05-23,513100.SH,0.24
2014-05-26,513100.SH,0.242
2014-05-27,513100.SH,0.243
2014-05-28,513100.SH,0.246
2014-05-29,513100.SH,0.245
2014-05-30,513100.SH,0.248
2014-06-03,513100.SH,0.247
2014-06-04,513100.SH,0.247
2014-06-05,513100.SH,0.248
2014-06-06,513100.SH,0.251
2014-06-09,513100.SH,0.251
2014-06-10,513100.SH,0.25
2014-06-11,513100.SH,0.251
2014-06-12,513100.SH,0.25
2014-06-13,513100.SH,0.248
2014-06-16,513100.SH,0.248
2014-06-17,513100.SH,0.249
2014-06-18,513100.SH,0.248
2014-06-19,513100.SH,0.251
2014-06-20,513100.SH,0.251
2014-06-23,513100.SH,0.251
2014-06-24,513100.SH,0.251
