交易日期,ETF代码,收盘价
2014-01-02,518880.SH,2.403
2014-01-03,518880.SH,2.424
2014-01-06,518880.SH,2.435
2014-01-07,518880.SH,2.442
2014-01-08,518880.SH,2.411
2014-01-09,518880.SH,2.412
2014-01-10,518880.SH,2.428
2014-01-13,518880.SH,2.448
2014-01-14,518880.SH,2.455
2014-01-15,518880.SH,2.434
2014-01-16,518880.SH,2.437
2014-01-17,518880.SH,2.435
2014-01-20,518880.SH,2.459
2014-01-21,518880.SH,2.451
2014-01-22,518880.SH,2.432
2014-01-23,518880.SH,2.426
2014-01-24,518880.SH,2.46
2014-01-27,518880.SH,2.476
2014-01-28,518880.SH,2.463
2014-01-29,518880.SH,2.455
2014-01-30,518880.SH,2.461
2014-02-07,518880.SH,2.48
2014-02-10,518880.SH,2.501
2014-02-11,518880.SH,2.515
2014-02-12,518880.SH,2.521
2014-02-13,518880.SH,2.517
2014-02-14,518880.SH,2.552
2014-02-17,518880.SH,2.596
2014-02-18,518880.SH,2.57
2014-02-19,518880.SH,2.575
2014-02-20,518880.SH,2.566
2014-02-21,518880.SH,2.582
2014-02-24,518880.SH,2.599
2014-02-25,518880.SH,2.612
2014-02-26,518880.SH,2.651
2014-02-27,518880.SH,2.602
2014-02-28,518880.SH,2.621
2014-03-03,518880.SH,2.651
2014-03-04,518880.SH,2.643
2014-03-05,518880.SH,2.624
2014-03-06,518880.SH,2.623
2014-03-07,518880.SH,2.649
2014-03-10,518880.SH,2.61
2014-03-11,518880.SH,2.641
2014-03-12,518880.SH,2.668
2014-03-13,518880.SH,2.694
2014-03-14,518880.SH,2.692
2014-03-17,518880.SH,2.722
2014-03-18,518880.SH,2.686
2014-03-19,518880.SH,2.68
2014-03-20,518880.SH,2.647
2014-03-21,518880.SH,2.647
2014-03-24,518880.SH,2.64
2014-03-25,518880.SH,2.608
2014-03-26,518880.SH,2.614
2014-03-27,518880.SH,2.58
2014-03-28,518880.SH,2.588
2014-03-31,518880.SH,2.573
2014-04-01,518880.SH,2.555
2014-04-02,518880.SH,2.561
2014-04-03,518880.SH,2.573
2014-04-04,518880.SH,2.564
2014-04-08,518880.SH,2.606
2014-04-09,518880.SH,2.61
2014-04-10,518880.SH,2.618
2014-04-11,518880.SH,2.62
2014-04-14,518880.SH,2.649
2014-04-15,518880.SH,2.61
2014-04-16,518880.SH,2.59
2014-04-17,518880.SH,2.586
2014-04-18,518880.SH,2.579
2014-04-21,518880.SH,2.565
2014-04-22,518880.SH,2.577
2014-04-23,518880.SH,2.575
2014-04-24,518880.SH,2.573
2014-04-25,518880.SH,2.59
2014-04-28,518880.SH,2.631
2014-04-29,518880.SH,2.603
2014-04-30,518880.SH,2.612
2014-05-05,518880.SH,2.624
2014-05-06,518880.SH,2.626
2014-05-07,518880.SH,2.625
2014-05-08,518880.SH,2.587
2014-05-09,518880.SH,2.588
2014-05-12,518880.SH,2.593
2014-05-13,518880.SH,2.595
2014-05-14,518880.SH,2.598
2014-05-15,518880.SH,2.61
2014-05-16,518880.SH,2.594
2014-05-19,518880.SH,2.596
2014-05-20,518880.SH,2.593
2014-05-21,518880.SH,2.594
2014-05-22,518880.SH,2.597
2014-05-23,518880.SH,2.597
2014-05-26,518880.SH,2.594
2014-05-27,518880.SH,2.589
2014-05-28,518880.SH,2.553
2014-05-29,518880.SH,2.526
2014-05-30,518880.SH,2.535
2014-06-03,518880.SH,2.517
2014-06-04,518880.SH,2.514
2014-06-05,518880.SH,2.51
2014-06-06,518880.SH,2.53
2014-06-09,518880.SH,2.522
2014-06-10,518880.SH,2.521
2014-06-11,518880.SH,2.53
2014-06-12,518880.SH,2.53
2014-06-13,518880.SH,2.544
2014-06-16,518880.SH,2.555
2014-06-17,518880.SH,2.536
2014-06-18,518880.SH,2.534
2014-06-19,518880.SH,2.556
2014-06-20,518880.SH,2.627
2014-06-23,518880.SH,2.637
2014-06-24,518880.SH,2.637
2014-06-25,518880.SH,2.629
2014-06-26,518880.SH,2.631
2014-06-27,518880.SH,2.634
2014-06-30,518880.SH,2.629
2014-07-01,518880.SH,2.638
2014-07-02,518880.SH,2.644
2014-07-03,518880.SH,2.638
2014-07-04,518880.SH,2.635
2014-07-07,518880.SH,2.617
2014-07-08,518880.SH,2.629
2014-07-09,518880.SH,2.633
2014-07-10,518880.SH,2.645
2014-07-11,518880.SH,2.669
2014-07-14,518880.SH,2.63
2014-07-15,518880.SH,2.61
2014-07-16,518880.SH,2.591
2014-07-17,518880.SH,2.604
2014-07-18,518880.SH,2.62
2014-07-21,518880.SH,2.62
2014-07-22,518880.SH,2.608
2014-07-23,518880.SH,2.605
2014-07-24,518880.SH,2.59
2014-07-25,518880.SH,2.579
2014-07-28,518880.SH,2.598
2014-07-29,518880.SH,2.596
2014-07-30,518880.SH,2.585
2014-07-31,518880.SH,2.577
2014-08-01,518880.SH,2.56
2014-08-04,518880.SH,2.578
2014-08-05,518880.SH,2.571
2014-08-06,518880.SH,2.571
2014-08-07,518880.SH,2.592
2014-08-08,518880.SH,2.616
2014-08-11,518880.SH,2.596
2014-08-12,518880.SH,2.598
2014-08-13,518880.SH,2.598
2014-08-14,518880.SH,2.598
2014-08-15,518880.SH,2.599
2014-08-18,518880.SH,2.578
2014-08-19,518880.SH,2.572
2014-08-20,518880.SH,2.569
2014-08-21,518880.SH,2.543
2014-08-22,518880.SH,2.544
2014-08-25,518880.SH,2.537
2014-08-26,518880.SH,2.557
2014-08-27,518880.SH,2.549
2014-08-28,518880.SH,2.551
2014-08-29,518880.SH,2.554
2014-09-01,518880.SH,2.549
2014-09-02,518880.SH,2.533
2014-09-03,518880.SH,2.524
2014-09-04,518880.SH,2.521
2014-09-05,518880.SH,2.516
2014-09-09,518880.SH,2.498
2014-09-10,518880.SH,2.49
2014-09-11,518880.SH,2.479
2014-09-12,518880.SH,2.464
2014-09-15,518880.SH,2.458
2014-09-16,518880.SH,2.458
2014-09-17,518880.SH,2.459
2014-09-18,518880.SH,2.435
2014-09-19,518880.SH,2.434
2014-09-22,518880.SH,2.406
2014-09-23,518880.SH,2.411
2014-09-24,518880.SH,2.418
2014-09-25,518880.SH,2.402
2014-09-26,518880.SH,2.429
2014-09-29,518880.SH,2.424
2014-09-30,518880.SH,2.429
2014-10-08,518880.SH,2.418
2014-10-09,518880.SH,2.431
2014-10-10,518880.SH,2.424
2014-10-13,518880.SH,2.441
2014-10-14,518880.SH,2.444
2014-10-15,518880.SH,2.428
2014-10-16,518880.SH,2.446
2014-10-17,518880.SH,2.449
2014-10-20,518880.SH,2.448
2014-10-21,518880.SH,2.461
2014-10-22,518880.SH,2.464
2014-10-23,518880.SH,2.448
2014-10-24,518880.SH,2.431
2014-10-27,518880.SH,2.427
2014-10-28,518880.SH,2.422
2014-10-29,518880.SH,2.428
2014-10-30,518880.SH,2.396
2014-10-31,518880.SH,2.349
2014-11-03,518880.SH,2.319
2014-11-04,518880.SH,2.316
2014-11-05,518880.SH,2.272
2014-11-06,518880.SH,2.262
2014-11-07,518880.SH,2.258
2014-11-10,518880.SH,2.305
2014-11-11,518880.SH,2.271
2014-11-12,518880.SH,2.303
2014-11-13,518880.SH,2.293
2014-11-14,518880.SH,2.282
2014-11-17,518880.SH,2.335
2014-11-18,518880.SH,2.34
2014-11-19,518880.SH,2.35
2014-11-20,518880.SH,2.33
2014-11-21,518880.SH,2.349
2014-11-24,518880.SH,2.359
2014-11-25,518880.SH,2.361
2014-11-26,518880.SH,2.363
2014-11-27,518880.SH,2.369
2014-11-28,518880.SH,2.353
2014-12-01,518880.SH,2.302
2014-12-02,518880.SH,2.39
2014-12-03,518880.SH,2.384
2014-12-04,518880.SH,2.392
2014-12-05,518880.SH,2.394
2014-12-08,518880.SH,2.373
2014-12-09,518880.SH,2.408
2014-12-10,518880.SH,2.463
2014-12-11,518880.SH,2.441
2014-12-12,518880.SH,2.434
2014-12-15,518880.SH,2.437
2014-12-16,518880.SH,2.404
2014-12-17,518880.SH,2.401
2014-12-18,518880.SH,2.409
2014-12-19,518880.SH,2.414
2014-12-22,518880.SH,2.409
2014-12-23,518880.SH,2.38
2014-12-24,518880.SH,2.378
2014-12-25,518880.SH,2.376
2014-12-26,518880.SH,2.386
2014-12-29,518880.SH,2.406
2014-12-30,518880.SH,2.388
2014-12-31,518880.SH,2.412
2015-01-05,518880.SH,2.414
2015-01-06,518880.SH,2.435
2015-01-07,518880.SH,2.445
2015-01-08,518880.SH,2.431
2015-01-09,518880.SH,2.439
2015-01-12,518880.SH,2.458
2015-01-13,518880.SH,2.471
2015-01-14,518880.SH,2.466
2015-01-15,518880.SH,2.462
2015-01-16,518880.SH,2.518
2015-01-19,518880.SH,2.567
2015-01-20,518880.SH,2.57
2015-01-21,518880.SH,2.62
2015-01-22,518880.SH,2.589
2015-01-23,518880.SH,2.607
