SMA50,SMA100,SMA200,总收益,年化收益率,波动率,夏普比率,最大回撤
20,80,180,3.6692610767949576,0.1383044472228181,0.06274962089311187,2.1711138605607454,-0.07437190972385632
20,80,190,3.6252199045763174,0.13739797840236667,0.06381781896112738,2.122910012262497,-0.0929919951412328
20,80,200,3.675420108692343,0.13843058958558574,0.06403634407226824,2.1305756608335296,-0.09299199514123291
20,80,210,3.7025556193411715,0.13898454236228663,0.06385439185791511,2.1443642039107536,-0.09299199514123258
20,80,220,3.6522602066097187,0.13795546192835806,0.0641087930345778,2.1214893491355853,-0.0929919951412328
20,80,230,3.6090671955792732,0.13706353589377906,0.06344406053380615,2.1302354177724507,-0.09299199514123346
20,80,240,3.576751707979003,0.1363912076277034,0.06325324168518849,2.126777412918095,-0.09299199514123224
20,80,250,3.56263593244031,0.13609616150584425,0.06261764049473226,2.1434183276466032,-0.09299199514123258
20,90,180,3.6561539778734344,0.1380354943093307,0.0625447035510878,2.174103364037435,-0.07437190972385621
20,90,190,3.599117778243188,0.13685699811200758,0.06360674711565832,2.121987378117035,-0.09299199514123224
20,90,200,3.578123182643843,0.13641982957333587,0.06372022476892994,2.112064274971062,-0.09299199514123235
20,90,210,3.6153275035346066,0.1371932830463034,0.0635081044759594,2.1300144029979258,-0.09299199514123269
20,90,220,3.58049289058275,0.13646926561254968,0.0637639423302657,2.1113671500493956,-0.09299199514123235
20,90,230,3.548504075708432,0.13579994056184752,0.06307289436193325,2.1241211860885225,-0.09299199514123213
20,90,240,3.5394183028044326,0.13560904615856018,0.06290936180110447,2.126710143875249,-0.09299199514123213
20,90,250,3.551954885540896,0.13587235145038745,0.062264714553612634,2.1519311901864304,-0.09299199514123258
20,100,180,3.6340769099507098,0.13758090920849453,0.06204321483821352,2.1844870211410017,-0.0743719097238561
20,100,190,3.5992996167705646,0.13686077652819995,0.06306331840753071,2.1397724067846418,-0.0886998869017781
20,100,200,3.5783074353508484,0.1364236742307361,0.06320886506135814,2.128683107193216,-0.08869988690177832
20,100,210,3.537949832598547,0.13557816037871473,0.06311261820286249,2.1196074077336204,-0.08869988690177766
20,100,220,3.5256997640285634,0.1353201520019689,0.06323152927157029,2.1120145542744377,-0.08869988690177844
20,100,230,3.3989068022536255,0.1326114235213678,0.06266621706919223,2.090980894400881,-0.08869988690177799
20,100,240,3.480218338421013,0.1343566021358804,0.06232542406048237,2.1276850729952774,-0.08869988690177821
20,100,250,3.424963649109463,0.1331738725726186,0.062252713587141364,2.1127234789837495,-0.08869988690177844
20,110,180,3.6631615150304127,0.1381793725688225,0.06225210751602871,2.186129979535312,-0.0743719097238561
20,110,190,3.608495062819779,0.13705167018616904,0.06327834531626762,2.1354720181662183,-0.0886998869017781
20,110,200,3.59759088776831,0.13682526551045737,0.06342563609419925,2.1274048818066964,-0.08869988690177821
20,110,210,3.57112139512523,0.1362736236126425,0.0633309002076278,2.1225477642509576,-0.08869988690177799
20,110,220,3.5552065388035743,0.13594053729359779,0.06356141025213849,2.110297645956597,-0.08869988690177799
20,110,230,3.4967723936082376,0.1347083419103039,0.06278977365326102,2.1175353737793072,-0.08869988690177733
20,110,240,3.5494050928832674,0.13581885212254186,0.0624469929124004,2.1450560780699046,-0.08869988690177844
20,110,250,3.444839689081328,0.13360087014041855,0.06231813388056907,2.116843717455167,-0.0886998869017781
20,120,180,3.6729632702735477,0.1383802896427082,0.06270418940150062,2.1737365519288527,-0.07437190972385654
20,120,190,3.6269530399029266,0.13743379946522127,0.06373640804287702,2.126045831161717,-0.09028036610038781
20,120,200,3.6344077748220647,0.13758773661813506,0.06380324958186599,2.1260839244601653,-0.09028036610038759
20,120,210,3.630733177801871,0.13751188609635823,0.06365152672225717,2.1299149305900773,-0.09028036610038737
20,120,220,3.548647527434169,0.13580295171747347,0.06383626800861206,2.0995177787372286,-0.09028036610038814
20,120,230,3.515992951334617,0.13511525449872575,0.06309321380523991,2.1135446199718224,-0.0902803661003877
20,120,240,3.5460787434140055,0.13574901790868954,0.06282458895004017,2.131524485330674,-0.09028036610038725
20,120,250,3.4586789444403205,0.13389714769960892,0.06267970892544088,2.10931458463621,-0.0902803661003877
30,80,180,3.4189205382031647,0.13304369995691667,0.06523278041377044,2.017283737733937,-0.0674568609980567
30,80,190,3.6582675148187107,0.13807891017808704,0.06542967403856009,2.0816694223066534,-0.0674568609980567
30,80,200,3.6123551921999546,0.1371317009276487,0.06550566182593533,2.0661531405899267,-0.06745686099805637
30,80,210,3.6199351075695096,0.13728867437019376,0.06540530988866199,2.0714108126061324,-0.06745686099805659
30,80,220,3.5672728603717054,0.13619317407770692,0.06569629931275911,2.0473172672417337,-0.06745686099805648
30,80,230,3.511846115187147,0.13502759747356818,0.06497968698354513,2.052798976041471,-0.0674568609980567
30,80,240,3.4713934486525737,0.1341686045628825,0.06477349180455173,2.0470104609352715,-0.06745686099805659
30,80,250,3.4497292587515496,0.1337056448476306,0.06407937704054235,2.0618715150625913,-0.06745686099805692
30,90,180,3.5442674337092157,0.13571097113522557,0.06529678425930849,2.0527000463914895,-0.06745686099805615
30,90,190,3.6937954221676845,0.13880602970789857,0.06535773322476907,2.0940176986543766,-0.06745686099805703
30,90,200,3.62725589173827,0.13744005765419987,0.06538534695905901,2.0741312331723045,-0.06745686099805659
30,90,210,3.649984703077225,0.13790866293333548,0.06524920345340791,2.084867410864494,-0.06745686099805692
30,90,220,3.601710014068056,0.1369108491628146,0.06551882386489787,2.062674401399221,-0.0674568609980567
